Program,Year,Period,State,State ANSI,Data Item,Value
SURVEY,2018,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",1.5
SURVEY,2018,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",20.5
SURVEY,2018,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",7.5
SURVEY,2018,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",20.6
SURVEY,2017,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",0.2
SURVEY,2017,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",6.7
SURVEY,2017,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",3.2
SURVEY,2017,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",9.8
SURVEY,2017,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",9.3
SURVEY,2017,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",19.9
SURVEY,2017,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",0
SURVEY,2017,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",9.4
SURVEY,2017,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",4.2
SURVEY,2017,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",13.6
SURVEY,2017,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",5.3
SURVEY,2017,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",17.9
SURVEY,2017,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",0
SURVEY,2017,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",7.5
SURVEY,2017,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",35.4
SURVEY,2017,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",22.1
SURVEY,2017,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",3.9
SURVEY,2017,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",69.5
SURVEY,2017,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",8.8
SURVEY,2017,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",1.7
SURVEY,2017,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",9.5
SURVEY,2017,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",10.1
SURVEY,2017,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",5.2
SURVEY,2017,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",22.3
SURVEY,2016,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",4.3
SURVEY,2016,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",2.4
SURVEY,2016,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",8.1
SURVEY,2016,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",22
SURVEY,2016,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",11.3
SURVEY,2016,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",24.2
SURVEY,2016,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",0.3
SURVEY,2016,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",4.8
SURVEY,2016,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",1.7
SURVEY,2016,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",8.2
SURVEY,2016,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",5.4
SURVEY,2016,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",9.6
SURVEY,2016,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",0
SURVEY,2016,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",3.2
SURVEY,2016,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",3.8
SURVEY,2016,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",42
SURVEY,2016,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",13.8
SURVEY,2016,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",11.7
SURVEY,2016,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",0.2
SURVEY,2016,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",6.7
SURVEY,2016,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",2.4
SURVEY,2016,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",9.9
SURVEY,2016,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",3.3
SURVEY,2016,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",12.3
SURVEY,2015,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",0
SURVEY,2015,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",9.1
SURVEY,2015,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",2.2
SURVEY,2015,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",5.4
SURVEY,2015,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",9.4
SURVEY,2015,JAN THRU MAR,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",10
SURVEY,2015,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",0
SURVEY,2015,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",3.2
SURVEY,2015,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",2.3
SURVEY,2015,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",42.5
SURVEY,2015,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",4.1
SURVEY,2015,APR THRU JUN,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",16.7
SURVEY,2015,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",0
SURVEY,2015,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",2.2
SURVEY,2015,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",2.6
SURVEY,2015,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",70.6
SURVEY,2015,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",17.7
SURVEY,2015,JUL THRU SEP,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",63.1
SURVEY,2015,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",0.2
SURVEY,2015,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",2.8
SURVEY,2015,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",0.2
SURVEY,2015,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",6.4
SURVEY,2015,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",1.9
SURVEY,2015,OCT THRU DEC,ALABAMA,1,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",3.1
SURVEY,2019,JAN THRU MAR,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",6.5
SURVEY,2019,JAN THRU MAR,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",8.4
SURVEY,2019,JAN THRU MAR,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",16.2
SURVEY,2019,JAN THRU MAR,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",7.9
SURVEY,2019,JAN THRU MAR,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",0.2
SURVEY,2019,JAN THRU MAR,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",25.8
SURVEY,2018,JAN THRU MAR,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",4.6
SURVEY,2018,JAN THRU MAR,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",7.9
SURVEY,2018,JAN THRU MAR,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",15.3
SURVEY,2018,JAN THRU MAR,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",4.3
SURVEY,2018,JAN THRU MAR,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",4.2
SURVEY,2018,JAN THRU MAR,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",36.3
SURVEY,2018,APR THRU JUN,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",32.8
SURVEY,2018,APR THRU JUN,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",14.3
SURVEY,2018,APR THRU JUN,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",0.8
SURVEY,2018,APR THRU JUN,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",7.2
SURVEY,2018,APR THRU JUN,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",4.1
SURVEY,2018,APR THRU JUN,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",73.8
SURVEY,2018,JUL THRU SEP,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",4.5
SURVEY,2018,JUL THRU SEP,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",15
SURVEY,2018,JUL THRU SEP,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",3.8
SURVEY,2018,JUL THRU SEP,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",2.3
SURVEY,2018,JUL THRU SEP,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",27.6
SURVEY,2018,JUL THRU SEP,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",52.5
SURVEY,2018,OCT THRU DEC,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",3.1
SURVEY,2018,OCT THRU DEC,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",7.1
SURVEY,2018,OCT THRU DEC,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",0
SURVEY,2018,OCT THRU DEC,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",8.3
SURVEY,2018,OCT THRU DEC,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",3
SURVEY,2018,OCT THRU DEC,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",20.6
SURVEY,2017,JAN THRU MAR,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",3.8
SURVEY,2017,JAN THRU MAR,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",6.5
SURVEY,2017,JAN THRU MAR,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",1.7
SURVEY,2017,JAN THRU MAR,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",2
SURVEY,2017,JAN THRU MAR,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",2.1
SURVEY,2017,JAN THRU MAR,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",35.6
SURVEY,2017,APR THRU JUN,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",19.7
SURVEY,2017,APR THRU JUN,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",20.4
SURVEY,2017,APR THRU JUN,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",12.4
SURVEY,2017,APR THRU JUN,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",15.9
SURVEY,2017,APR THRU JUN,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",0.7
SURVEY,2017,APR THRU JUN,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",58.4
SURVEY,2017,JUL THRU SEP,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",0.5
SURVEY,2017,JUL THRU SEP,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",12.4
SURVEY,2017,JUL THRU SEP,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",1.1
SURVEY,2017,JUL THRU SEP,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",0.4
SURVEY,2017,JUL THRU SEP,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY UNKNOWN CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",6.3
SURVEY,2017,JUL THRU SEP,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY VARROA MITES - INVENTORY, MEASURED IN PCT OF COLONIES",19.8
SURVEY,2017,OCT THRU DEC,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY DISEASE - INVENTORY, MEASURED IN PCT OF COLONIES",2.3
SURVEY,2017,OCT THRU DEC,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY OTHER CAUSES - INVENTORY, MEASURED IN PCT OF COLONIES",4.1
SURVEY,2017,OCT THRU DEC,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY PESTICIDES - INVENTORY, MEASURED IN PCT OF COLONIES",1.6
SURVEY,2017,OCT THRU DEC,ARIZONA,4,"HONEY, BEE COLONIES, AFFECTED BY PESTS ((EXCL VARROA MITES)) - INVENTORY, MEASURED IN PCT OF COLONIES",4.2
